eventid,riskscore
199801010001,9.826305782
199801010002,9.000732512
199801010003,9.01273886
199801020001,10
199801020002,4.00024417
199801040001,12.5
199801040002,12.5
199801050001,4
199801050002,13.00024417
199801050003,12.67883228
199801050004,13.21386414
199801060001,6.66609344
199801060002,13
199801060003,12
199801060004,12
199801070001,4
199801080001,12.5
199801080002,12.5
199801090001,9.01273886
199801090002,10.0107435
199801100001,12.33270553
199801100002,9.0254777
199801100003,8.0254777
199801110001,10
199801110002,9.51273886
199801110003,9.81847134
199801110004,13
199801110005,15.5477707
199801120001,13
199801120002,13
199801120003,13
199801130001,9
199801130002,8.0254777
199801130003,9.001220852
199801140001,9
199801140002,10.01518056
199801150001,10
199801170001,8.410573366
199801170002,10
199801170003,10
199801170004,9
199801180001,9.013471372
199801180002,9.01273886
199801190001,13
199801190002,9.00024417
199801190003,13
199801200001,9.01835478
199801200002,9.03821656
199801200003,9.1910828
199801200004,8
199801200005,9.01273886
199801210001,9.01273886
199801210002,12
199801210003,12
199801210004,12
199801210005,13.0254777
199801210006,13
199801220001,9.168535146
199801230001,9.0254777
199801230002,9.01273886
199801240001,9.01273886
199801240002,9.000732512
199801240003,9.03821656
199801250001,13.00366256
199801250002,10.16926766
199801250003,9.039437412
199801250004,13.01347137
199801250005,10.29299364
199801250006,9
199801250007,16
199801250008,9.255753762
199801260001,10.3312102
199801260002,8
199801270001,16
199801280001,9.206507534
199801280002,9.1656051
199801280003,9.11464968
199801280004,9.15286624
199801280005,4
199801290001,9.0254777
199801290002,10.01298303
199801310001,9
199802010001,10.07643312
199802020001,8.077898142
199802020002,10.00024417
199802030001,10.00048834
199802040001,9.06369426
199802040002,12.00149533
199802040003,9.500976682
199802050001,8.00024417
199802050002,9.11464968
199802050003,10
199802060001,9.01273886
199802060002,9.118312236
199802060003,9
199802060004,10.01518056
199802060005,9.08917198
199802070001,9.014448054
199802070002,9.02572187
199802070003,10.00048834
199802070004,10.02645438
199802080001,9
199802090001,4.0254777
199802100001,9.01298303
199802100002,9.01273886
199802100003,9.03821656
199802110001,9.01273886
199802120001,9.032314472
199802120002,8.32970318
199802120003,8.00024417
199802120004,10
199802120005,4
199802130001,4
199802130002,13
199802130003,13
199802140001,10.63694268
199802140002,9.00048834
199802140004,12.07643312
199802150001,8.28285668
199802150002,8.40764332
199802150003,8.14012738
199802150004,8.05095542
199802150005,13.04041409
199802150006,13.04041409
199802150007,13.04041409
199802150008,13.04041409
199802150009,13.04016992
199802150010,13.04016992
199802150011,13.04016992
199802150012,13.04016992
199802150013,13.04016992
199802150014,13.04016992
199802150015,13.04016992
199802150016,13.04016992
199802150017,9.014692224
199802150018,12.00186916
199802150019,9.00024417
199802180001,9.065403454
199802190001,9.002441704
199802190002,9.0254777
199802190003,10
199802200001,10.00268587
199802200002,12.02996368
199802200003,12.00373832
199802200004,9
199802210001,8.24203822
199802210002,8.0254777
